Name		Guthling	: {	1	:{
9	: ?	GUST	?.		
14	: ?	HAIL	?.		
16	: ?	ICY WIND	?.		
22	: ?	AURORA VEIL	?.		
25	: ?	PLUCK	?.		
29	: ?	SING	?.		
32	: ?	ICE BEAM	?.		
35	: ?	HAIL	?.		
40	: ?	BLIZZARD	?.		
44	: ?	HURRICANE	?.		}.}.
Name		Serebird	: {	235	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
1	: ?	POWDER SNOW	?.		
4	: ?	GUST	?.		
8	: ?	HAIL	?.		
11	: ?	ICY WIND	?.		
18	: ?	AURORA VEIL	?.		
21	: ?	PLUCK	?.		
24	: ?	SING	?.		
28	: ?	ICE BEAM	?.		
32	: ?	HAIL	?.		
37	: ?	BLIZZARD	?.		
43	: ?	MIRROR COAT	?.		
45	: ?	HURRICANE	?.		
50	: ?	ROOST	?.		}.}.
Name		Serepea	: {	236	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
1	: ?	POWDER SNOW	?.		
1	: ?	GUST	?.		
1	: ?	HAIL	?.		
7	: ?	ICY WIND	?.		
14	: ?	AURORA VEIL	?.		
19	: ?	PLUCK	?.		
24	: ?	SING	?.		
28	: ?	ICE BEAM	?.		
32	: ?	HAIL	?.		
36	: ?	BLIZZARD	?.		
40	: ?	MIRROR COAT	?.		
43	: ?	HURRICANE	?.		
48	: ?	ROOST	?.		
51	: ?	LIGHT SCREEN	?.		}.}.
Name		Frogspawn	: {	237	:{
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
10	: ?	FLAIL	?.		}.}.
Name		Frog	: {	238	:{
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	DISARMING VOICE	?.		
11	: ?	SUPERSONIC	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	ROUND	?.		
19	: ?	REST	?.		
23	: ?	MUD SHOT	?.		
25	: ?	RAIN DANCE	?.		
29	: ?	BOUNCE	?.		
30	: ?	ACID ARMOR	?.		
31	: ?	SNORE	?.		
35	: ?	SWAGGER	?.		
37	: ?	HYPER VOICE	?.		
41	: ?	PERISH SONG	?.		
43	: ?	HYDRO PUMP	?.		}.}.
Name		Giant_Frog	: {	239	:{
1	: ?	BODY SLAM	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	DISARMING VOICE	?.		
11	: ?	SUPERSONIC	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	ROUND	?.		
19	: ?	REST	?.		
24	: ?	MUD SHOT	?.		
27	: ?	RAIN DANCE	?.		
32	: ?	BOUNCE	?.		
35	: ?	SNORE	?.		
40	: ?	SWAGGER	?.		
43	: ?	HYPER VOICE	?.		
48	: ?	PERISH SONG	?.		
51	: ?	HYDRO PUMP	?.		}.}.
Name		Royal_Frog	: {	240	:{
1	: ?	MOONBLAST	?.		
1	: ?	LEER	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	DISARMING VOICE	?.		
11	: ?	SUPERSONIC	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	CONFIDE	?.		
19	: ?	REST	?.		
24	: ?	MUD SHOT	?.		
27	: ?	RAIN DANCE	?.		
32	: ?	BOUNCE	?.		
35	: ?	SNORE	?.		
40	: ?	SWAGGER	?.		
43	: ?	MOONBLAST	?.		
48	: ?	NOBLE ROAR	?.		
51	: ?	HYDRO PUMP	?.		}.}.
Name		Bloated_Frog	: {	241	:{
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	GUST	?.		
11	: ?	FOCUS ENERGY	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	ROUND	?.		
19	: ?	REST	?.		
24	: ?	SELFDESTRUCT	?.		
27	: ?	STOCKPILE	?.		
27	: ?	SPIT UP	?.		
32	: ?	BOUNCE	?.		
35	: ?	SWAGGER	?.		
40	: ?	HURRICANE	?.		
43	: ?	PERISH SONG	?.		
48	: ?	EXPLOSION	?.		
51	: ?	HYDROPUMP	?.		}.}.
Name		Balloon_Frog	: {	242	:{
1	: ?	MINIMIZE	?.		
1	: ?	SPLASH	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	GUST	?.		
11	: ?	BATON PASS	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	DEFOG	?.		
19	: ?	REST	?.		
24	: ?	SELFDESTRUCT	?.		
27	: ?	STOCKPILE	?.		
32	: ?	SPIT UP	?.		
35	: ?	FLY	?.		
40	: ?	SWAGGER	?.		
43	: ?	HURRICANE	?.		
48	: ?	HYDRO PUMP	?.		
51	: ?	EXPLOSION	?.		}.}.
Name		Barker_Toad	: {	243	:{
1	: ?	LICK	?.		
1	: ?	SLUDGE WAVE	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	SLUDGE  	?.		
11	: ?	BUBBLEBEAM	?.		
13	: ?	ACID ARMOR	?.		
17	: ?	ROUND	?.		
19	: ?	REST	?.		
24	: ?	MUD SHOT	?.		
27	: ?	ECHOED VOICE	?.		
32	: ?	BOUNCE	?.		
35	: ?	SLUDGE BOMB	?.		
40	: ?	SWAGGER	?.		
43	: ?	HYPER VOICE	?.		
48	: ?	PERISH SONG	?.		
51	: ?	HYDRO PUMP	?.		}.}.
Name		Frogeel	: {	244	:{
1	: ?	DISCHARGE	?.		
1	: ?	LEER	?.		
1	: ?	BUBBLE	?.		
5	: ?	LEER	?.		
7	: ?	SCREECH	?.		
11	: ?	CHARGE	?.		
13	: ?	BUBBLEBEAM	?.		
17	: ?	AMNESIA	?.		
19	: ?	REST	?.		
24	: ?	MUD SHOT	?.		
27	: ?	RAIN DANCE	?.		
32	: ?	DISCHARGE	?.		
35	: ?	SNORE	?.		
40	: ?	SWAGGER	?.		
43	: ?	VOLT TACKLE	?.		
48	: ?	ELECTRIC TERRAIN	?.		
51	: ?	HYDRO PUMP	?.		}.}.
Name		SPIDERLING	: {	245	:{
1	: ?	POISON STING	?.		
4	: ?	STRING SHOT	?.		
7	: ?	TACKLE	?.		
10	: ?	BUG BITE	?.		
13	: ?	SPIDER WEB	?.		
16	: ?	TOXIC THREAD	?.		
19	: ?	ACID	?.		
22	: ?	MEAN LOOK	?.		
25	: ?	POISON FANG	?.		
28	: ?	STICKY WEB	?.		}.}.
Name		SPIDER_GIANT_FORM	: {	246*	:{
1	: ?	POISON STING	?.		
1	: ?	STRING SHOT	?.		
1	: ?	TACKLE	?.		
4	: ?	CONFIDE	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	INFESTATION	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
29	: ?	THUNDER FANG	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	POISON FANG	?.		
43	: ?	STICKY WEB	?.		
49	: ?	CROSS POISON	?.		}.}.
Name		SPIDER_HUGE_FORM	: {	246*	:{
1	: ?	POISON STING	?.		
1	: ?	STRING SHOT	?.		
1	: ?	TACKLE	?.		
4	: ?	TAUNT	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	INFESTATION	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
29	: ?	ICE FANG	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	POISON FANG	?.		
43	: ?	STICKY WEB	?.		
49	: ?	CROSS POISON	?.		}.}.
Name		DEADLYRED_SPIDER	: {	247	:{
1	: ?	STICKY WEB	?.		
1	: ?	TOXIC THREAD	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	CONFIDE	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	INFESTATION	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	POISON FANG	?.		
41	: ?	STICKY WEB	?.		
49	: ?	CROSS POISON	?.		}.}.
Name		NIGHT_SPIDER	: {	248	:{
1	: ?	STICKY WEB	?.		
1	: ?	NIGHT DAZE	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	CONFIDE	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	CAMOUFLAGE	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	CRUNCH	?.		
41	: ?	STICKY WEB	?.		
49	: ?	NIGHT SLASH	?.		}.}.
Name		BLESSED_SPIDER	: {	249	:{
1	: ?	STICKY WEB	?.		
1	: ?	THUNDER	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	AMNESIA	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	ELECTRIFY	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	THUNDER FANG	?.		
41	: ?	STICKY WEB	?.		
49	: ?	THUNDER	?.		}.}.
Name		JUNGLE_SPIDER	: {	250	:{
1	: ?	STICKY WEB	?.		
1	: ?	LEAF STORM	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	POISONPOWDER	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	GRASS KNOT	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	ENERGY BALL	?.		
41	: ?	STICKY WEB	?.		
49	: ?	LEAF STORM	?.		}.}.
Name		ICE_SPIDER	: {	251	:{
1	: ?	STICKY WEB	?.		
1	: ?	ICICLE CRASH	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	SHARPEN	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	HAIL	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	DOUBLE TEAM	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	ICE FANG	?.		
41	: ?	STICKY WEB	?.		
49	: ?	BLIZZARD	?.		}.}.
Name		EEK	: {	252	:{
1	: ?	STICKY WEB	?.		
1	: ?	ACROBATICS	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	CONFIDE	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	REST	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	MEAN LOOK	?.		
37	: ?	SPIRIT SHACKLE	?.		
41	: ?	STICKY WEB	?.		
49	: ?	SHADOW BALL	?.		}.}.
Name		MINSTREL_WEB	: {	253	:{
1	: ?	STICKY WEB	?.		
1	: ?	SPIRIT SHACKLE	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	CONFIDE	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	REST	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	PARTING SHOT	?.		
37	: ?	HEAVY SLAM	?.		
41	: ?	AUTOTOMIZE	?.		
49	: ?	SHADOW BALL	?.		}.}.
Name		SPIDINE	: {	254	:{
1	: ?	STICKY WEB	?.		
1	: ?	WATER GUN	?.		
1	: ?	TACKLE	?.		
1	: ?	STRING SHOT	?.		
3	: ?	CONFIDE	?.		
7	: ?	BUG BITE	?.		
10	: ?	SPIDER WEB	?.		
13	: ?	CHARM	?.		
16	: ?	SUCKER PUNCH	?.		
19	: ?	TOXIC THREAD	?.		
25	: ?	LEECH LIFE	?.		
31	: ?	ATTRACT	?.		
37	: ?	HYDRO PUMP	?.		
41	: ?	STICKY WEB	?.		
49	: ?	X SCISSOR	?.		}.}.
Name		Cave_Crawler	: {	255	:{
1	: ?	POISON STING	?.		
1	: ?	GROWL	?.		
4	: ?	TACKLE	?.		
7	: ?	STUN SPORE	?.		
10	: ?	POISONPOWDER	?.		
13	: ?	SLUDGE	?.		
16	: ?	BITE	?.		
20	: ?	POISON FANG	?.		
24	: ?	HOWL	?.		
28	: ?	CRUNCH	?.		
32	: ?	HEADBUTT	?.		
36	: ?	BANEFUL BUNKER	?.		
41	: ?	POISON JAB	?.		
46	: ?	TOXIC	?.		
51	: ?	SLUDGE WAVE	?.		}.}.
Name		Chasm_Crawler	: {	256	:{
1	: ?	SEED BOMB	?.		
1	: ?	POISON STING	?.		
1	: ?	GROWL	?.		
4	: ?	TACKLE	?.		
7	: ?	STUN SPORE	?.		
10	: ?	POISONPOWDER	?.		
13	: ?	SLUDGE	?.		
16	: ?	BITE	?.		
22	: ?	POISON FANG	?.		
26	: ?	HOWL	?.		
30	: ?	CRUNCH	?.		
34	: ?	SEED BOMB	?.		
38	: ?	BANEFUL BUNKER	?.		
43	: ?	POISON JAB	?.		
47	: ?	TOXIC	?.		
52	: ?	SLUDGE WAVE	?.		}.}.
Name		MonstrousCrawler	: {	257	:{
1	: ?	SEED BOMB	?.		
1	: ?	POISON STING	?.		
1	: ?	GROWL	?.		
4	: ?	TACKLE	?.		
7	: ?	STUN SPORE	?.		
10	: ?	POISONPOWDER	?.		
13	: ?	SLUDGE	?.		
16	: ?	BITE	?.		
22	: ?	POISON FANG	?.		
26	: ?	HOWL	?.		
30	: ?	CRUNCH	?.		
36	: ?	SEED BOMB	?.		
38	: ?	BANEFUL BUNKER	?.		
43	: ?	POISON JAB	?.		
47	: ?	TOXIC	?.		
57	: ?	SLUDGE WAVE	?.		}.}.
Name		Winston	: {	258	:{
1	: ?	TACKLE	?.		
1	: ?	HARDEN	?.		
4	: ?	ROCK THROW	?.		
7	: ?	GROWL	?.		
10	: ?	BITE	?.		
13	: ?	ROCK TOMB	?.		
14	: ?	WITHDRAW	?.		
16	: ?	HEADBUTT	?.		
21	: ?	IRON DEFENSE	?.		
24	: ?	PROTECT	?.		
28	: ?	REFLECT	?.		
31	: ?	SKULL BASH	?.		
34	: ?	HEAD SMASH	?.		}.}.
Name		Tortoise	: {	259	:{
1	: ?	STEALTH ROCK	?.		
1	: ?	TACKLE	?.		
1	: ?	HARDEN	?.		
1	: ?	ROCK THROW	?.		
4	: ?	GROWL	?.		
7	: ?	BITE	?.		
10	: ?	ROCK TOMB	?.		
13	: ?	WITHDRAW	?.		
16	: ?	HEADBUTT	?.		
19	: ?	IRON DEFENSE	?.		
24	: ?	PROTECT	?.		
29	: ?	REFLECT	?.		
32	: ?	SKULL BASH	?.		
35	: ?	ROCK POLISH	?.		
40	: ?	HEAD SMASH	?.		
44	: ?	WIDE GUARD	?.		}.}.
Name		Warped_Tortoise	: {	260	:{
1	: ?	PSYCHO CUT	?.		
1	: ?	WRAP	?.		
1	: ?	HARDEN	?.		
1	: ?	ROCK THROW	?.		
4	: ?	GROWL	?.		
7	: ?	BITE	?.		
10	: ?	ROCK TOMB	?.		
14	: ?	WITHDRAW	?.		
17	: ?	HEADBUTT	?.		
21	: ?	IRON DEFENSE	?.		
26	: ?	PROTECT	?.		
31	: ?	REFLECT	?.		
36	: ?	SKULL BASH	?.		
38	: ?	FUTURE SIGHT	?.		
42	: ?	HEAD SMASH	?.		
47	: ?	PSYCHIC	?.		}.}.
Name		War_Tortoise	: {	261	:{
1	: ?	HEAVY SLAM	?.		
1	: ?	TACKLE	?.		
1	: ?	HARDEN	?.		
1	: ?	ROCK THROW	?.		
4	: ?	GROWL	?.		
7	: ?	BITE	?.		
10	: ?	ROCK TOMB	?.		
13	: ?	WITHDRAW	?.		
16	: ?	HEADBUTT	?.		
19	: ?	IRON DEFENSE	?.		
24	: ?	PROTECT	?.		
29	: ?	REFLECT	?.		
32	: ?	IRON HEAD	?.		
35	: ?	AUTOTOMIZE	?.		
40	: ?	HEAD SMASH	?.		
44	: ?	QUICK GUARD	?.		}.}.
Name		Valluta	: {	262	:{
1	: ?	METAL BURST	?.		
1	: ?	WRAP	?.		
1	: ?	HARDEN	?.		
1	: ?	ROCK THROW	?.		
4	: ?	GROWL	?.		
7	: ?	BITE	?.		
10	: ?	ROCK TOMB	?.		
14	: ?	WITHDRAW	?.		
17	: ?	HEADBUTT	?.		
21	: ?	IRON DEFENSE	?.		
26	: ?	PROTECT	?.		
31	: ?	REFLECT	?.		
36	: ?	SKULL BASH	?.		
38	: ?	IRON HEAD	?.		
42	: ?	HEAD SMASH	?.		
47	: ?	HEAVY SLAM	?.		}.}.
Name		Sea_Turtle	: {	263	:{
1	: ?	HYDRO PUMP	?.		
1	: ?	TACKLE	?.		
1	: ?	HARDEN	?.		
1	: ?	ROCK THROW	?.		
4	: ?	GROWL	?.		
7	: ?	BITE	?.		
10	: ?	ROCK TOMB	?.		
13	: ?	WITHDRAW	?.		
16	: ?	HEADBUTT	?.		
19	: ?	IRON DEFENSE	?.		
24	: ?	SOAK	?.		
29	: ?	LIGHT SCREEN	?.		
32	: ?	LIQUIDATION	?.		
35	: ?	ROCK POLISH	?.		
40	: ?	HEAD SMASH	?.		
44	: ?	PROTECT	?.		}.}.
Name		Cave_Slime	: {	264	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
3	: ?	SOAK	?.		
7	: ?	SLUDGE	?.		
10	: ?	CURSE	?.		
14	: ?	ACID SPRAY	?.		
16	: ?	VENOM DRENCH	?.		
19	: ?	TOXIC	?.		
24	: ?	SLUDGE BOMB	?.		
28	: ?	ACID ARMOR	?.		
31	: ?	HEX	?.		
36	: ?	GRUDGE	?.		
40	: ?	SLUDGE WAVE	?.		
43	: ?	GASTRO ACID	?.		
46	: ?	SHADOW FORCE	?.		}.}.
Name		Jelly	: {	265	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
3	: ?	SOAK	?.		
8	: ?	SLUDGE	?.		
11	: ?	CURSE	?.		
15	: ?	ACID SPRAY	?.		
17	: ?	VENOM DRENCH	?.		
20	: ?	TOXIC	?.		
25	: ?	SLUDGE BOMB	?.		
30	: ?	ACID ARMOR	?.		
33	: ?	HEX	?.		
38	: ?	GRUDGE	?.		
42	: ?	BONE RUSH	?.		
45	: ?	SLUDGE WAVE	?.		
50	: ?	GASTRO ACID	?.		
53	: ?	SHADOW FORCE	?.		}.}.
Name		Warped_Jelly	: {	266	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
3	: ?	SOAK	?.		
8	: ?	SLUDGE	?.		
11	: ?	CURSE	?.		
15	: ?	ACID SPRAY	?.		
17	: ?	PSYBEAM	?.		
20	: ?	TOXIC	?.		
25	: ?	SLUDGE BOMB	?.		
30	: ?	ACID ARMOR	?.		
33	: ?	HEX	?.		
38	: ?	AMNESIA	?.		
42	: ?	BONE RUSH	?.		
45	: ?	SLUDGE WAVE	?.		
50	: ?	PSYCHO SHIFT	?.		
53	: ?	PSYCHO BOOST	?.		}.}.
Name		Spirit_Jelly	: {	267	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
3	: ?	SOAK	?.		
8	: ?	SLUDGE	?.		
11	: ?	CURSE	?.		
15	: ?	ACID SPRAY	?.		
17	: ?	DRAINING KISS	?.		
20	: ?	TOXIC	?.		
25	: ?	SLUDGE BOMB	?.		
30	: ?	ACID ARMOR	?.		
33	: ?	NATURE POWER	?.		
38	: ?	FLEUR CANNON	?.		
42	: ?	HEART SWAP	?.		
45	: ?	SLUDGE WAVE	?.		
50	: ?	PSYCHO SHIFT	?.		
53	: ?	DOUBLE EDGE	?.		}.}.
Name		Salamander_Green_Form	: {	268	:{
1	: ?	EMBER	?.		
1	: ?	POISON GAS	?.		
5	: ?	LEER	?.		
7	: ?	DISARMING VOICE	?.		
11	: ?	SMOKESCREEN	?.		
15	: ?	FLAME BURST	?.		
19	: ?	STOCKPILE	?.		
24	: ?	FLAMETHROWER	?.		
30	: ?	TEARFUL LOOK	?.		
33	: ?	FIRE BLAST	?.		
37	: ?	HEAL PULSE	?.		}.}.
Name		Salamander_Orange_Form	: {	269	:{
1	: ?	EMBER	?.		
1	: ?	POISON GAS	?.		
6	: ?	LEER	?.		
9	: ?	DISARMING VOICE	?.		
13	: ?	SMOKESCREEN	?.		
17	: ?	FLAME BURST	?.		
22	: ?	STOCKPILE	?.		
27	: ?	FLAMETHROWER	?.		
32	: ?	TEARFUL LOOK	?.		
36	: ?	FIRE BLAST	?.		
41	: ?	DRAGON PULSE	?.		
44	: ?	SCREECH	?.		}.}.
Name		Salamander_Red_Form	: {	270	:{
1	: ?	EMBER	?.		
1	: ?	POISON GAS	?.		
6	: ?	LEER	?.		
9	: ?	DISARMING VOICE	?.		
13	: ?	SMOKESCREEN	?.		
17	: ?	FLAME BURST	?.		
22	: ?	STOCKPILE	?.		
27	: ?	FLAMETHROWER	?.		
33	: ?	TEARFUL LOOK	?.		
38	: ?	FIRE BLAST	?.		
43	: ?	AURA SPHERE	?.		
47	: ?	SCREECH	?.		
51	: ?	INFERNO	?.		}.}.
Name		Salamander_Black_Form	: {	271	:{
1	: ?	EMBER	?.		
1	: ?	POISON GAS	?.		
6	: ?	LEER	?.		
9	: ?	DISARMING VOICE	?.		
13	: ?	SMOKESCREEN	?.		
17	: ?	FLAME BURST	?.		
22	: ?	STOCKPILE	?.		
27	: ?	FLAMETHROWER	?.		
36	: ?	TEARFUL LOOK	?.		
41	: ?	FIRE BLAST	?.		
46	: ?	DARK PULSE	?.		
50	: ?	SCREECH	?.		
54	: ?	INFERNO	?.		
57	: ?	BURN UP	?.		}.}.
Name		Salamander_Augmented_Form	: {	272	:{
1	: ?	FLASH CANNON	?.		
1	: ?	EMBER	?.		
1	: ?	POISON GAS	?.		
6	: ?	LEER	?.		
9	: ?	DISARMING VOICE	?.		
13	: ?	SMOKESCREEN	?.		
17	: ?	FLAME BURST	?.		
22	: ?	STOCKPILE	?.		
27	: ?	FLAMETHROWER	?.		
36	: ?	TEARFUL LOOK	?.		
41	: ?	FIRE BLAST	?.		
46	: ?	ORIGIN PULSE	?.		
50	: ?	SCREECH	?.		
54	: ?	DISCHARGE	?.		
57	: ?	INFERNO	?.		
60	: ?	BURN UP	?.		}.}.
Name		Gecko	: {	273	:{
1	: ?	SHADOW SNEAK	?.		
1	: ?	LEER	?.		
1	: ?	LICK	?.		
4	: ?	SCRATCH	?.		
7	: ?	BIND	?.		
13	: ?	FAKE OUT	?.		
17	: ?	CAMOUFLAGE	?.		
21	: ?	FURY SWIPES	?.		
24	: ?	ANCIENTPOWER	?.		
27	: ?	PARTING SHOT	?.		
31	: ?	TAKE DOWN	?.		
33	: ?	SCREECH	?.		
39	: ?	SUCKER PUNCH	?.		
42	: ?	PLAY ROUGH	?.		
47	: ?	SUBSTITUTE	?.		
51	: ?	RECOVER	?.		
55	: ?	ENTRAINMENT	?.		}.}.
Name		Chameleon	: {	274	:{
1	: ?	SHADOW SNEAK	?.		
1	: ?	LEER	?.		
1	: ?	LICK	?.		
4	: ?	SCRATCH	?.		
7	: ?	BIND	?.		
13	: ?	FAKE OUT	?.		
17	: ?	CAMOUFLAGE	?.		
21	: ?	FURY SWIPES	?.		
24	: ?	ANCIENTPOWER	?.		
27	: ?	PARTING SHOT	?.		
32	: ?	TAKE DOWN	?.		
35	: ?	SCREECH	?.		
40	: ?	SUCKER PUNCH	?.		
44	: ?	PLAY ROUGH	?.		
48	: ?	SUBSTITUTE	?.		
52	: ?	RECOVER	?.		
56	: ?	ENTRAINMENT	?.		}.}.
Name		Bloodveld	: {	275	:{
1	: ?	ABSORB	?.		
1	: ?	GROWL	?.		
3	: ?	SCRATCH	?.		
7	: ?	BITE	?.		
11	: ?	MEGA DRAIN	?.		
15	: ?	WORK UP	?.		
19	: ?	CRUSH CLAW	?.		
23	: ?	SNARL	?.		
28	: ?	LEECH LIFE	?.		
32	: ?	DOUBLE EDGE	?.		
37	: ?	CRUNCH	?.		
41	: ?	STRENGTH SAP	?.		
43	: ?	GIGA DRAIN	?.		}.}.
Name		Insatiable_Bloodveld_Physical_Form	: {	276*	:{
1	: ?	ABSORB	?.		
1	: ?	GROWL	?.		
4	: ?	SCRATCH	?.		
8	: ?	BITE	?.		
12	: ?	MEGA DRAIN	?.		
16	: ?	WORK UP	?.		
21	: ?	CRUSH CLAW	?.		
25	: ?	SNARL	?.		
30	: ?	LEECH LIFE	?.		
34	: ?	DOUBLE EDGE	?.		
37	: ?	CRUNCH	?.		
43	: ?	STRENGTH SAP	?.		
47	: ?	GIGA DRAIN	?.		
51	: ?	GIGA IMPACT	?.		}.}.
Name		Insatiable_Bloodveld_Special_Form	: {	276*	:{
1	: ?	ABSORB	?.		
1	: ?	GROWL	?.		
4	: ?	SCRATCH	?.		
8	: ?	BITE	?.		
12	: ?	MEGA DRAIN	?.		
16	: ?	WORK UP	?.		
21	: ?	CRUSH CLAW	?.		
25	: ?	SNARL	?.		
30	: ?	LEECH LIFE	?.		
34	: ?	DOUBLE EDGE	?.		
37	: ?	CRUNCH	?.		
43	: ?	STRENGTH SAP	?.		
47	: ?	GIGA DRAIN	?.		
51	: ?	DARK PULSE	?.		}.}.
Name		Mutated_Bloodveld_Physical_Form	: {	277*	:{
1	: ?	CLOSE COMBAT	?.		
1	: ?	ABSORB	?.		
1	: ?	GROWL	?.		
6	: ?	SCRATCH	?.		
9	: ?	BITE	?.		
13	: ?	MEGA DRAIN	?.		
17	: ?	WORK UP	?.		
22	: ?	CRUSH CLAW	?.		
27	: ?	SNARL	?.		
32	: ?	LEECH LIFE	?.		
34	: ?	DOUBLE EDGE	?.		
39	: ?	CRUNCH	?.		
45	: ?	STRENGTH SAP	?.		
49	: ?	GIGA DRAIN	?.		
52	: ?	SCREECH	?.		
55	: ?	GIGA IMPACT	?.		}.}.
Name		Mutated_Bloodveld_Special_Form	: {	277*	:{
1	: ?	PSYCHIC FANGS	?.		
1	: ?	ABSORB	?.		
1	: ?	GROWL	?.		
6	: ?	SCRATCH	?.		
9	: ?	BITE	?.		
13	: ?	MEGA DRAIN	?.		
17	: ?	WORK UP	?.		
22	: ?	CRUSH CLAW	?.		
27	: ?	SNARL	?.		
32	: ?	LEECH LIFE	?.		
34	: ?	DOUBLE EDGE	?.		
39	: ?	CRUNCH	?.		
45	: ?	STRENGTH SAP	?.		
49	: ?	GIGA DRAIN	?.		
52	: ?	PSYCHIC FANGS	?.		
55	: ?	DARK PULSE	?.		}.}.
Name		Armaling	: {	278	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
6	: ?	CONFUSION	?.		
9	: ?	GUST	?.		
14	: ?	AGILITY	?.		
16	: ?	STORED POWER	?.		
22	: ?	PLUCK	?.		
25	: ?	EXTRASENSORY	?.		
29	: ?	MIRACLE EYE	?.		
32	: ?	OMINOUS WIND	?.		
35	: ?	HURRICANE	?.		
40	: ?	PSYCHIC	?.		
44	: ?	BRAVE BIRD	?.		}.}.
Name		Armabird	: {	279	:{
1	: ?	TACKLE	?.		
1	: ?	LEER	?.		
1	: ?	CONFUSION	?.		
4	: ?	GUST	?.		
8	: ?	AGILITY	?.		
11	: ?	STORED POWER	?.		
18	: ?	PLUCK	?.		
21	: ?	MIRACLE EYE	?.		
24	: ?	EXTRASENSORY	?.		
28	: ?	FEATHER DANCE	?.		
32	: ?	PSYCHIC	?.		
37	: ?	ROOST	?.		
