, , , , , , , BASE STATS, , , , , , , , EXTRA INFORMATION, , , , , , , , , , , , EFFORT VALUES, , , , , , , Unnecessary Information, , , , , 
459, Polar_Bear_Nanuq_Form, ICE, FIRE, FLASH_FIRE, SLUSH_RUSH, , 525, 87, 73, 85, 110, 80, 90, , -, -, 135, medium slow, 50, 45, 50, 20, FIELD, , 0, , , , 2, , , , , , Firemaking, 5120, BEAR, Polar Bear, FLASH_FIRE
460, Bear_Grizzly_Form, NORMAL, FIGHTING, ANGER_POINT, FLUFFY, , 370, 70, 90, 60, 50, 60, 40, , -, -, 87, medium slow, 50, 85, 50, 20, FIELD, , 0, , , 2, , , , , , , Strength, 5120, BEAR, Bear, FLUFFY
461, Kendall, NORMAL, FIGHTING, INTIMIDATE, FLUFFY, , 525, 95, 130, 75, 73, 75, 77, , -, -, 135, medium slow, 50, 45, 0, 20, FIELD, , 0, , , 2, , , , , , , Strenght, 5120, BEAR, Kendall, FLUFFY
462, Bear_Gauntlet_Corrupted_Form, ROCK, FIGHTING, SHELL_ARMOR, FILTER, , 525, 90, 87, 85, 83, 100, 80, , -, -, 135, medium slow, 50, 45, 0, 20, FIELD, , 0, , , 2, , , , , , , Crafting, 5120, BEAR, Bear, SHELL_ARMOR
463, Bear_Angry_Form, NORMAL, FIGHTING, ANGER_POINT, FLUFFY, , 525, 85, 137, 73, 80, 70, 80, , -, -, 135, medium slow, 50, 45, 0, 20, FIELD, , 0, , , 2, , , , , , , Quest, 5120, BEAR, Bear, FLUFFY
464, Graahk_Normal_Form, GRASS, -, ROCK_HEAD, OVERCOAT, , 460, 70, 100, 110, 75, 70, 35, , -, -, 91, medium slow, 50, 90, 70, 20, MONSTER, , 0, , , , 2, , , , , , Hunter, 5120, HUNTER, Graahk, OVERCOAT
465, Graahk_Spirit_Form, GRASS, FAIRY, ROCK_HEAD, OVERCOAT, , 530, 90, 110, 120, 85, 85, 40, , -, -, 135, medium slow, 50, 45, 70, 20, MONSTER, , 0, , , , 2, , , , , , Summoning, 5120, HUNTER, Graahk, OVERCOAT
466, Dust_Devil, POISON, -, WHITE_SMOKE, LEVITATE, , 330, 70, 65, 55, 65, 55, 20, , -, -, 67, medium fast, 50, 170, 70, 20, AMORPHOUS, , 0, , , , , 1, , , , , Slayer, 5120, SLAYER, Dust Devil, STENCH
467, SmokeDevil, POISON, -, WHITE_SMOKE, LEVITATE, , 480, 95, 90, 100, 88, 67, 40, , -, -, 90, medium fast, 50, 110, 70, 20, AMORPHOUS, , 0, , , , , 2, , , , , Summoning, 5120, SLAYER, Dust Devil, STENCH
468, SmokeDevil_Nuclear_Form, POISON, ELECTRIC, WHITE_SMOKE, LEVITATE, , 560, 115, 100, 110, 100, 83, 52, , -, -, 200, slow, 50, 45, 70, 20, AMORPHOUS, , 0, , , , , 3, , , , , Firemaking, 5120, SLAYER, Dust Devil, AFTERMATH
469, ChokeDevil, POISON, -, AFTERMATH, LEVITATE, , 480, 100, 67, 83, 100, 90, 40, , -, -, 90, medium fast, 50, 110, 70, 20, AMORPHOUS, , 0, , , , , 2, , , , , Firemaking, 5120, SLAYER, Dust Devil, STENCH
470, SmokeDevil_Thermonuclear_Form, POISON, FIRE, AFTERMATH, LEVITATE, , 560, 120, 110, 90, 110, 90, 40, , -, -, 200, medium fast, 50, 45, 70, 20, AMORPHOUS, , 0, , , , , 3, , , , , Firemaking, 5120, SLAYER, Dust Devil, AFTERMATH
471, Hatchling, DRAGON, -, CUTE_CHARM, MARVEL_SCALE, , 190, 30, 30, 20, 60, 20, 30, , -, -, 49, slow, 50, 170, 70, 15, DRAGON, , 0, , 1, , , , , , , , Attack, 3840, DRAGON, Dragonling, DRY_SKIN
472, Dragonling_Green_Form, DRAGON, -, CUTE_CHARM, MARVEL_SCALE, , 255, 40, 40, 35, 70, 30, 40, , -, -, 78, slow, 50, 100, 70, 15, DRAGON, , 0, , 2, , , , , , , , Summning, 3840, DRAGON, Dragon, SHELL_ARMOR
473, Dragon_Green_Form, DRAGON, FLYING, INTIMIDATE, MARVEL_SCALE, , 490, 90, 90, 75, 100, 60, 75, , -, -, 101, slow, 50, 45, 70, 15, DRAGON, , 0, , 3, , , , , , , , Firemaking, 3840, DRAGON, Dragon, SHELL_ARMOR
474, Dragon_Brutal_Green_Form, DRAGON, FLYING, INTIMIDATE, MARVEL_SCALE, , 550, 95, 100, 85, 110, 70, 90, , -, -, 145, slow, 100, 35, 30, 20, DRAGON, , 0, , 3, , , , , , , , Quest, 5120, DRAGON, Dragon, SHELL_ARMOR
475, Dragonling_Blue_Form, DRAGON, WATER, SHELL_ARMOR, CUTE_CHARM, , 255, 40, 40, 70, 35, 40, 30, , -, -, 76, slow, 50, 160, 70, 20, DRAGON, , 0, , , 2, , , , , , , Firemaking, 5120, DRAGON, Dragon, MARVEL_SCALE
476, Dragon_Blue_Form, DRAGON, WATER, SHELL_ARMOR, INTIMIDATE, , 490, 90, 90, 100, 85, 65, 60, , -, -, 145, slow, 50, 45, 70, 20, DRAGON, , 0, , , 3, , , , , , , Firemaking, 5120, DRAGON, Dragon, MARVEL_SCALE
477, Dragon_Brutal_Blue_Form, DRAGON, WATER, SHELL_ARMOR, INTIMIDATE, , 550, 90, 90, 115, 95, 85, 75, , -, -, 145, slow, 50, 45, 70, 20, DRAGON, , 0, , , 3, , , , , , , Firemaking, 5120, DRAGON, Dragon, MARVEL_SCALE
478, Dragonling_Red_Form, FIRE, DRAGON, FLASH_FIRE, MARVEL_SCALE, , 255, 35, 70, 40, 30, 40, 40, , -, -, 67, slow, 50, 160, 70, 20, DRAGON, , 0, , , , , 2, , , , , Smithing, 5120, DRAGON, Dragon, SIMPLE
479, Dragon_Red_Form, FIRE, DRAGON, FLASH_FIRE, MARVEL_SCALE, , 490, 85, 85, 65, 110, 75, 70, , -, -, 106, slow, 50, 45, 70, 20, DRAGON, , 0, , , , , 3, , , , , Smithing, 5120, DRAGON, Dragon, SIMPLE
480, Dragon_Brutal_Red_Form, FIRE, DRAGON, FLASH_FIRE, MARVEL_SCALE, , 550, 95, 90, 70, 130, 80, 85, , -, -, 145, slow, 50, 45, 70, 20, DRAGON, , 0, , , , , 3, , , , , Smithging, 5120, DRAGON, Dragon, SIMPLE
481, Dragonling_Black_Form, DRAGON, DARK, MARVEL_SCALE, CUTE_CHARM, , 255, 35, 70, 40, 30, 40, 40, , -, -, 67, slow, 50, 160, 70, 20, DRAGON, , 0, , , 2, , , , , , , Firemaking, 5120, DRAGON, Dragon, ROUGH_SKIN
482, Dragon_Black_Form, DRAGON, DARK, MARVEL_SCALE, INTIMIDATE, , 490, 85, 100, 75, 80, 80, 70, , -, -, 106, slow, 50, 45, 70, 20, DRAGON, , 0, , , 3, , , , , , , Firemaking, 5120, DRAGON, Dragon, ROUGH_SKIN
483, Dragon_Brutal_Black_Form, DRAGON, DARK, MARVEL_SCALE, INTIMIDATE, , 550, 90, 120, 80, 90, 90, 80, , -, -, 145, slow, 50, 45, 70, 20, DRAGON, , 0, , , 3, , , , , , , Smithing, 5120, DRAGON, Dragon, ROUGH_SKIN
484, Dragon_ThreeHeaded_Form, DRAGON, FLYING, ANTICIPATION, MARVEL_SCALE, , 555, 80, 130, 80, 100, 80, 85, , -, -, 156, slow, 50, 45, 70, 20, DRAGON, , 0, , , 3, , , , , , , Quest, 5120, DRAGON, Dragon, UNNERVE
485, Elvarg, DRAGON, FLYING, INTIMIDATE, MARVEL_SCALE, , 600, 90, 110, 95, 110, 90, 105, , -, -, 242, slow, 100, 35, 30, 20, DRAGON, , 0, , , , , 3, , , , , Quest, 5120, DRAGON, Elvarg, SHELL_ARMOR
486, Dragon_King_Black_Form, DRAGON, DARK, PRESSURE, PRESSURE, , 610, 105, 130, 90, 110, 90, 85, , -, -, 238, slow, 0, 25, 30, 20, DRAGON, , 0, , , 3, , , , , , , Firemaking, 5120, DRAGON, K.B.D, UNNERVE
487, Dragon_Queen_Black_Form, DRAGON, GHOST, PRESSURE, PRESSURE, , 610, 115, 140, 95, 110, 90, 60, , -, -, 248, slow, 100, 25, 30, 20, DRAGON, , 0, , , , , 3, , , , , Quest, 5120, DRAGON, Q.B.D, UNNERVE
488, Hand_Creeping_Form, FIGHTING, -, IRON_FIST, OBLIVIOUS, , 220, 30, 60, 30, 25, 30, 45, , -, -, 46, fast, 50, 220, 70, 15, HUMAN_LIKE, , 0, , , 1, , , , , , , Strength, 3840, SLAYER, Hand, SCRAPPY
489, Hand_Crawling_Form, FIGHTING, -, IRON_FIST, OBLIVIOUS, , 407, 65, 87, 55, 50, 70, 80, , -, -, 89, fast, 50, 125, 70, 15, HUMAN_LIKE, , 0, , , 2, , , , , , , Strength, 3840, SLAYER, Hand, SCRAPPY
490, Hand_Skeletal_Form, FIGHTING, GHOST, IRON_FIST, OBLIVIOUS, , 530, 80, 109, 86, 70, 85, 100, , -, -, 135, fast, 50, 65, 70, 15, HUMAN_LIKE, , 0, , , 2, , , , , , , Strength, 3840, SLAYER, Hand, SCRAPPY
491, Hand_Crushing_Form, FIGHTING, -, IRON_FIST, SCRAPPY, , 530, 80, 119, 80, 76, 85, 90, , -, -, 135, fast, 50, 65, 70, 15, HUMAN_LIKE, , 0, , , 2, , , , , , , Strength, 3840, SLAYER, Hand, RATTLED
492, Hand_Zombie_Form, FIGHTING, GHOST, IRON_FIST, MUMMY, , 530, 70, 109, 99, 77, 85, 90, , -, -, 135, fast, 50, 65, 70, 15, HUMAN_LIKE, , 0, , , 2, , , , , , , Strength, 3840, SLAYER, Hand, MUMMY
493, Turoth, BUG, NORMAL, COMPOUND_EYES, COMPOUND_EYES, , 369, 69, 70, 55, 50, 60, 65, , -, -, 76, medium fast, 50, 200, 70, 20, MONSTER, , 0, , 1, , , , , , , , Slayer, 5120, SLAYER, Turoth, SWARM
494, Turoth_Mightiest_Form, BUG, NORMAL, COMPOUND_EYES, COMPOUND_EYES, , 490, 80, 85, 65, 85, 85, 90, , -, -, 156, medium fast, 50, 65, 70, 20, MONSTER , , 0, , 2, , , , , , , , Slayer, 5120, SLAYER, Turoth, SWARM
495, Big_Turoth, BUG, FIGHTING, THICK_FAT, THICK_FAT, , 490, 96, 80, 66, 80, 80, 88, , -, -, 156, medium fast, 50, 65, 70, 20, MONSTER, , 0, , 2, , , , , , , , Slayer, 5120, SLAYER, Turoth, SWARM
496, Sockroth, BUG, NORMAL, COMPOUND_EYES, FLUFFY, , 496, 96, 89, 67, 80, 76, 88, , -, -, 156, medium fast, 50, 65, 100, 20, MONSTER, , 0, , 2, , , , 1, , , , Quest, 5120, SLAYER, Sockroth, DISGUISE
497, Lilrask, GRASS, -, INTIMIDATE, GRASS_PELT, , 210, 60, 60, 30, 25, 20, 15, , -, -, 57, medium slow, 50, 200, 70, 20, MONSTER, , 0, , , , 1, , , , , , Slayer, 5120, SLAYER, Lilrask, HARVEST
498, Kurask, GRASS, -, INTIMIDATE, GRASS_PELT, , 397, 80, 70, 86, 70, 56, 35, , -, -, 89, medium slow, 50, 85, 70, 20, MONSTER, GRASS, 0, , , , 2, , , , , , Farming, 5120, SLAYER, Kurask, HARVEST
499, Kurask_King_Form, GRASS, FAIRY, INTIMIDATE, GRASS_PELT, , 520, 110, 115, 100, 85, 70, 40, , -, -, 157, medium slow, 50, 130, 70, 20, MONSTER, GRASS, 0, , , , 2, , , , , , Slayer, 5120, SLAYER, Kurask, HARVEST
500, Kurask_Overlord_Form, GRASS, FIGHTING, INTIMIDATE, DRY_SKIN, , 520, 100, 120, 95, 65, 90, 50, , -, -, 157, medium slow, 50, 130, 70, 20, MONSTER, GRASS, 0, , , , 2, , , , , , Slayer, 5120, SLAYER, Kurask, DRY_SKIN
501, Kebbit, NORMAL, -, HUSTLE, CUTE_CHARM, , 220, 45, 35, 35, 35, 35, 35, , -, -, 31, erratic, 50, 255, 70, 10, FIELD, , 0, , , , , , , 1, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
502, Kebbit_Polar_Form, NORMAL, ICE, HUSTLE, SNOW_CLOAK, , 260, 50, 40, 35, 50, 40, 45, , -, -, 61, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
503, Kebbit_Sabre_Form, NORMAL, ICE, HUSTLE, SNOW_CLOAK, , 475, 80, 110, 70, 80, 70, 65, , -, -, 89, erratic, 50, 130, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
504, Kebbit_Spotted_Form, NORMAL, FIGHTING, HUSTLE, SPEED_BOOST, , 260, 40, 30, 30, 40, 30, 90, , -, -, 61, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
505, Kebbit_Dark_Form, NORMAL, FIGHTING, HUSTLE, SPEED_BOOST, , 315, 45, 50, 35, 45, 40, 100, , -, -, 89, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
506, Kebbit_Dashing_Form, NORMAL, FIGHTING, HUSTLE, SPEED_BOOST, , 475, 65, 65, 65, 60, 50, 170, , -, -, 120, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
507, Kebbit_Wild_Form, NORMAL, -, HUSTLE, CUTE_CHARM, , 260, 50, 40, 40, 40, 40, 50, , -, -, 61, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
508, Kebbit_Prickly_Form, NORMAL, -, HUSTLE, IRON_BARBS, , 315, 60, 40, 70, 45, 50, 50, , -, -, 89, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
509, Kebbit_Razor_Form, NORMAL, STEEL, HUSTLE, IRON_BARBS, , 475, 100, 75, 120, 50, 80, 50, , -, -, 120, erratic, 50, 130, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
510, Kebbit_Big_Form, NORMAL, -, HUSTLE, THICK_FAT, , 475, 110, 90, 80, 75, 60, 60, , -, -, 120, erratic, 50, 110, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
511, Kebbit_DesertDevil_Form, NORMAL, -, HUSTLE, RUN_AWAY, , 220, 35, 35, 40, 30, 35, 45, , -, -, 41, erratic, 50, 195, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
512, Kebbit_Feldip_Weasel_Form, NORMAL, -, HUSTLE, RUN_AWAY, , 260, 50, 30, 70, 40, 30, 40, , -, -, 61, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
513, Kebbit_Barbed_Form, NORMAL, -, HUSTLE, CUTE_CHARM, , 315, 60, 40, 80, 50, 40, 45, , -, -, 89, erratic, 50, 160, 70, 10, FIELD, , 0, , , , , , , 2, , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
514, Kebbit_Diseased_Form, NORMAL, POISON, HUSTLE, POISON_POINT, , 475, 70, 65, 110, 100, 60, 70, , -, -, 131, erratic, 50, 130, 70, 10, FIELD, , 0, , , , 2, , , , , , Hunter, 2560, KEBBIT, Kebbit, RUN_AWAY
515, Kebbit_Chocolate_Form, NORMAL, FAIRY, HUSTLE, SWEET_VEIL, , 475, 80, 80, 65, 90, 80, 80, , -, -, 131, erratic, 50, 130, 70, 10, FIELD, , 0, , , , , , , 2, , , Quest, 2560, KEBBIT, Kebbit, RUN_AWAY
516, Monkey_Normal_Form, FIGHTING, -, INNER_FOCUS, RATTLED, , 258, 30, 45, 23, 40, 35, 85, , -, -, 42, medium fast, 50, 230, 70, 15, HUMAN_LIKE, , 0, , , , , , , 1, , , Agility, 3840, MONKEY, Monkey, RATTLED
517, Monkey_Ninja_Form, FIGHTING, -, INNER_FOCUS, SCRAPPY, , 505, 65, 105, 60, 85, 60, 130, , -, -, 132, medium fast, 50, 65, 70, 15, HUMAN_LIKE, , 0, , , , , , , 2, , , Agility, 3840, MONKEY, Monkey, SCRAPPY
518, Gorilla_Normal_Form, FIGHTING, -, INNER_FOCUS, GUTS, , 505, 120, 120, 110, 55, 70, 30, , -, -, 132, medium fast, 30, 65, 70, 15, HUMAN_LIKE, , 0, , , 2, , , , , , , Strength, 3840, MONKEY, Gorilla, MOXIE
519, Monkey_Zombie_Form, FIGHTING, GHOST, STICKY_HOLD, POISON_HEAL, , 505, 100, 100, 75, 90, 115, 25, , -, -, 132, medium fast, 50, 65, 70, 15, HUMAN_LIKE, , 0, , , 1, 1, , , , , , Prayer, 3840, MONKEY, Monkey, POISON_HEAL
520, Gorilla_Ancient_Form, FIGHTING, ROCK, INNER_FOCUS, MOXIE, , 505, 120, 100, 90, 85, 80, 30, , -, -, 132, medium fast, 30, 65, 70, 15, HUMAN_LIKE, , 0, , , 1, 2, , , , , , Strength, 3840, MONKEY, Gorilla, MOXIE
521, Monkey_Harmless_Form, FIGHTING, -, INNER_FOCUS, RATTLED, , 258, 50, 45, 35, 20, 33, 75, , -, -, 47, medium fast, 50, 200, 70, 15, HUMAN_LIKE, , 0, , , , , , , 1, , , Agility, 3840, MONKEY, Monkey, 
522, Monkey_Ghost_Form, FIGHTING, GHOST, CURSED_BODY, RATTLED, , 505, 50, 80, 75, 115, 85, 100, , -, -, 150, medium fast, 30, 65, 70, 15, HUMAN_LIKE, , 0, , , , , , 2, , , , Prayer, 3840, MONKEY, Monkey, 
523, Gorilla_Ayuni_Form, FIGHTING, -, KEEN_EYE, KEEN_EYE, , 530, 100, 80, 80, 130, 90, 50, , -, -, 150, medium fast, 30, 65, 70, 15, HUMAN_LIKE, , 0, , , 2, , , , , , , Quest, 3840, MONKEY, Gorilla, 
524, Gorilla_Leeuni_Form, FIGHTING, -, ANGER_POINT, ANGER_POINT, , 530, 100, 120, 70, 120, 80, 40, , -, -, 150, medium fast, 30, 65, 70, 15, HUMAN_LIKE, , 0, , , , , 2, , , , , Quest, 3840, MONKEY, Gorilla, 
525, Gorilla_Eruni_Form, FIGHTING, -, SOUNDPROOF, SOUNDPROOF, , 530, 100, 120, 80, 90, 80, 60, , -, -, 150, medium fast, 30, 65, 70, 15, HUMAN_LIKE, , 0, , , 1, , 1, , , , , Quest, 3840, MONKEY, Gorilla, 
526, Monkey_Karamja_Baby_Form, FIGHTING, NORMAL, SPEED_BOOST, RATTLED, , 255, 50, 65, 23, 20, 22, 75, , -, -, 51, medium fast, 50, 200, 70, 15, HUMAN_LIKE, , 0, , , , , , , 1, , , Hunter, 3840, MONKEY, Monkey, 
527, Monkey_Karamja_Adult_Form, FIGHTING, NORMAL, SPEED_BOOST, RATTLED, , 485, 65, 95, 60, 85, 60, 120, , -, -, 89, medium fast, 50, 200, 70, 15, HUMAN_LIKE, , 0, , , , , , , 2, , , Hunter, 3840, MONKEY, Monkey, 
528, Larupia_Normal_Form, DARK, -, SPEED_BOOST, KEEN_EYE, , 460, 60, 90, 60, 65, 70, 115, , -, -, 89, medium slow, 50, 75, 70, 20, FIELD, , 0, , , , , , , 2, , , Hunter, 5120, HUNTER, Larupia, KEEN_EYE
529, Larupia_Spirit_Form, DARK, FAIRY, SPEED_BOOST, KEEN_EYE, , 530, 70, 105, 70, 85, 70, 130, , -, -, 130, medium slow, 50, 45, 70, 20, FIELD, , 0, , , , , , , 2, , , Summoning, 5120, HUNTER, Larupia, KEEN_EYE
530, Kyatt_Normal_Form, ICE, -, INTIMIDATE, UNBURDEN, , 460, 90, 95, 60, 85, 60, 70, , -, -, 141, medium slow, 50, 75, 70, 20, FIELD, , 0, , , 2, , , , , , , Hunter, 5120, HUNTER, Kyatt, UNBURDEN
531, Kyatt_Spirit_Form, ICE, FAIRY, INTIMIDATE, UNBURDEN, , 530, 100, 120, 65, 110, 65, 70, , -, -, 153, medium slow, 50, 45, 70, 20, FIELD, , 0, , , 2, , , , , , , Summoning, 5120, HUNTER, Kyatt, UNBURDEN
532, Crabling, WATER, -, STURDY, SHELL_ARMOR, , 200, 55, 30, 65, 10, 30, 10, , -, -, 54, SLOW, 50, 200, 0, 15, MINERAL, WATER_3, 0, , , , 1, , , , , , Mining, 3840, CRAB / LOBSTER, Crabling, SOLID_ROCK
533, Rock_Crab_Normal_Form, ROCK, WATER, STURDY, SHELL_ARMOR, , 350, 70, 65, 110, 60, 30, 15, , -, -, 89, slow, 50, 120, 0, 15, MINERAL, WATER_3, 0, , , , 2, , , , , , Mining, 3840, CRAB / LOBSTER, Rock Crab, SOLID_ROCK
534, Rock_Crab_Giant_Normal_Form, ROCK, WATER, STURDY, SHELL_ARMOR, , 480, 90, 85, 175, 70, 45, 15, , -, -, 157, slow, 50, 90, 0, 15, MINERAL, WATER_3, 0, , , , 3, , , , , , Mining, 3840, CRAB / LOBSTER, Rock Crab, SOLID_ROCK
535, Rock_Crab_Ammonite_Form, ROCK, WATER, STURDY, SHELL_ARMOR, , 350, 70, 65, 90, 60, 50, 15, , -, -, 89, slow, 50, 120, 0, 15, MINERAL, WATER_3, 0, , , , 2, , , , , , Mining, 3840, CRAB / LOBSTER, Stone Crab, 
536, Rock_Crab_Giant_Ammonite_Form, ROCK, WATER, STURDY, SHELL_ARMOR, , 480, 90, 85, 155, 70, 65, 15, , -, -, 157, slow, 50, 75, 0, 15, MINERAL, WATER_3, 0, , , , 3, , , , , , Mining, 3840, CRAB / LOBSTER, Stone Crab, SOLID_ROCK
537, Rock_Crab_Sand_Form, ROCK, GROUND, SAND_VEIL, SHELL_ARMOR, , 350, 70, 65, 60, 60, 50, 45, , -, -, 89, slow, 50, 90, 0, 15, MINERAL, WATER_3, 0, , , , , , , 2, , , Mining, 3840, CRAB / LOBSTER, Sand Crab, SAND_RUSH
538, Rock_Crab_Giant_Sand_Form, ROCK, GROUND, SAND_VEIL, SHELL_ARMOR, , 500, 90, 85, 110, 70, 65, 80, , -, -, 155, slow, 50, 75, 0, 15, MINERAL, WATER_3, 0, , , , , , , 3, , , Mining, 3840, CRAB / LOBSTER, Sand Crab, 
539, Rock_Crab_Swamp_Form, ROCK, GRASS, WEAK_ARMOR, STORM_DRAIN, , 350, 70, 65, 30, 60, 110, 15, , -, -, 89, slow, 50, 90, 0, 15, MINERAL, WATER_3, 0, , , , , , 2, , , , Farming, 3840, CRAB / LOBSTER, Swamp Crab, STORM_DRAIN
540, Rock_Crab_Giant_Swamp_Form, ROCK, GRASS, WEAK_ARMOR, STORM_DRAIN, , 480, 90, 85, 45, 70, 175, 15, , -, -, 134, slow, 50, 75, 0, 15, MINERAL, WATER_3, 0, , , , , , 3, , , , Farming, 3840, CRAB / LOBSTER, Swamp Crab, STORM_DRAIN
541, Crab_Granite_Form, ROCK, WATER, STURDY, SHELL_ARMOR, , 250, 75, 35, 75, 20, 30, 15, , -, -, 62, slow, 50, 90, 0, 15, MINERAL, WATER_3, 0, , , , 2, , , , , , Summoning, 3840, CRAB / LOBSTER, Crab, SOLID_ROCK
542, Lobster_Granite_Form, ROCK, WATER, STURDY, ROCK_HEAD, , 360, 85, 70, 100, 35, 40, 30, , -, -, 78, slow, 50, 75, 0, 15, MINERAL, LIFE, 0, , , , 2, , , , , , Summoning, 3840, CRAB / LOBSTER, Lobster, ROCK_HEAD
543, Lobster_Rock_Form, ROCK, WATER, STURDY, HYPER_CUTTER, , 480, 95, 75, 150, 75, 30, 55, , -, -, 120, slow, 50, 90, 0, 15, MINERAL, LIFE, 0, , , , 2, , , , , , Mining, 3840, CRAB / LOBSTER, Lobster, ROCK_HEAD
544, Rabbit, FAIRY, -, SERENE_GRACE, MAGICIAN, , 260, 50, 30, 25, 35, 30, 90, , -, -, 59, fast, 75, 255, 200, 10, FAIRY , , 0, , , , , , , 1, , , Hunter, 2560, HUNTER, Rabbit, MAGICIAN
545, Wolperting, FAIRY, FLYING, SERENE_GRACE, MAGICIAN, , 505, 70, 100, 70, 95, 70, 100, , -, -, 134, fast, 75, 45, 70, 10, FAIRY , , 0, , , , , , , 2, , , Summoning, 2560, HUNTER, Wolperting, MAGICIAN
546, Bunyip, WATER, GROUND, REGENERATOR, RAIN_DISH, , 500, 120, 60, 87, 70, 120, 43, , -, -, 134, medium slow, 50, 65, 70, 20, MONSTER, WATER_1, 0, , 2, , , , , , , , Summoning, 5120, , Bunyip, REGENERATOR
547, TalonBeast_Talon_Form, PSYCHIC, ROCK, SPEED_BOOST, TOUGH_CLAWS, , 530, 90, 110, 95, 75, 70, 90, , -, -, 134, fast, 50, 45, 70, 20, FIELD, , 0, , , 2, , , , , , , Summoning, 5120, , TalonBeast, TOUGH_CLAWS
548, TalonBeast_Nail_Form, DARK, ROCK, SPEED_BOOST, TOUGH_CLAWS, , 460, 80, 90, 80, 65, 55, 90, , -, -, 110, fast, 50, 45, 70, 20, FIELD, , 0, , , 2, , , , , , , Agility, 5120, , TalonBeast, TOUGH_CLAWS
549, Ferret, NORMAL, -, STICKY_HOLD, PICKUP, , 365, 75, 70, 50, 40, 50, 80, , -, -, 90, fluctuating, 50, 255, 70, 20, FAIRY , , 0, , , , , , , 1, , , Hunter, 5120, HUNTER, Ferret, PICKPOCKET
550, Toy_Mouse, STEEL, -, OWN_TEMPO, RUN_AWAY, , 245, 45, 35, 35, 35, 35, 60, , -, -, 53, medium fast, Genderless, 200, 70, 20, MINERAL, , 0, , , , , , , 1, , , Crafting, 5120, OBJECT, Toy Mouse, LIGHTNING_ROD
551, Toy_Doll, STEEL, FAIRY, OWN_TEMPO, DANCER, , 480, 60, 90, 90, 90, 90, 60, , -, -, 115, medium fast, Genderless, 80, 70, 20, MINERAL, , 0, , , , 2, , , , , , Crafting, 5120, OBJECT, Toy Doll, DANCER
552, Toy_Soldier, STEEL, ELECTRIC, OWN_TEMPO, RUN_AWAY, , 480, 60, 80, 100, 80, 50, 110, , -, -, 115, medium fast, Genderless, 80, 70, 20, MINERAL, , 0, , , , 2, , , , , , Crafting, 5120, OBJECT, ToySoldier, LIGHTNING_ROD
553, Cat_Clockwork_Form, NORMAL, STEEL, DOWNLOAD, STATIC, , 503, 103, 50, 120, 90, 90, 50, , -, -, 130, medium slow, 50, 90, 70, 20, MINERAL, , 0, , , , 2, , , , , , Construction, 5120, CAT, Cat, STATIC
554, Magicarpet, PSYCHIC, GROUND, LEVITATE, LEVITATE, , 530, 70, 70, 30, 100, 140, 120, , -, -, 140, fast, Genderless, 65, 70, 20, MINERAL, , 0, , , , , , , 2, , , Crafting, 5120, OBJECT, Magicarpet, FLUFFY
555, Anichair, GHOST, -, VITAL_SPIRIT, DANCER, , 265, 50, 30, 50, 30, 25, 80, , -, -, 52, fast, Genderless, 220, 120, 20, MINERAL, , 0, , , , , , , 1, , , Crafting, 5120, OBJECT, Anichair, DANCER
556, Exoraxe, GHOST, STEEL, VITAL_SPIRIT, NO_GUARD, , 470, 60, 120, 80, 65, 70, 75, , -, -, 100, medium fast, Genderless, 110, 70, 20, MINERAL, , 0, , , 1, 1, , , , , , Prayer, 5120, OBJECT, Exoraxe, NO_GUARD
557, Spookaxe, GHOST, STEEL, VITAL_SPIRIT, NO_GUARD, , 470, 70, 115, 90, 55, 70, 70, , -, -, 100, medium fast, Genderless, 110, 70, 20, MINERAL, , 0, , , 1, 1, , , , , , Prayer, 5120, OBJECT, Spookaxe, NO_GUARD
